Genome	Category	Function	GeneRule	Present	EvidenceType	AnalysisSet	Species	Phylum
SGB_002	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
SGB_011	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocatella oralis	Methanobacteriota
SGB_012	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota
SGB_013	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Methanococcus maripaludis_D	AGJL01
SGB_014	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Persephonella marina	Aquificota
SGB_015	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota
SGB_016	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota
SGB_017	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota
SGB_018	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nanoarchaeum equitans	Nanobdellota
SGB_019	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B
SGB_020	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Halobacterium salinarum	Halobacteriota
SGB_021	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Rhodopirellula baltica	Planctomycetota
SGB_022	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota
SGB_023	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga petrophila	Thermotogota
SGB_024	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga neapolitana	Thermotogota
TRUNC_050	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_070	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_090	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_100	Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	true	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
SGB_001	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Desulfobulbus oralis	Desulfobacterota
SGB_002	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
SGB_011	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocatella oralis	Methanobacteriota
SGB_012	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota
SGB_013	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanococcus maripaludis_D	AGJL01
SGB_014	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Persephonella marina	Aquificota
SGB_015	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota
SGB_016	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota
SGB_017	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota
SGB_018	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nanoarchaeum equitans	Nanobdellota
SGB_019	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B
SGB_020	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Halobacterium salinarum	Halobacteriota
SGB_021	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Rhodopirellula baltica	Planctomycetota
SGB_022	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota
SGB_023	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga petrophila	Thermotogota
SGB_024	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga neapolitana	Thermotogota
TRUNC_050	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_070	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_090	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_100	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
SGB_001	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Desulfobulbus oralis	Desulfobacterota
SGB_002	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
SGB_011	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocatella oralis	Methanobacteriota
SGB_012	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota
SGB_013	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanococcus maripaludis_D	AGJL01
SGB_014	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Persephonella marina	Aquificota
SGB_015	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota
SGB_016	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota
SGB_017	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota
SGB_018	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nanoarchaeum equitans	Nanobdellota
SGB_019	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B
SGB_020	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Halobacterium salinarum	Halobacteriota
SGB_021	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Rhodopirellula baltica	Planctomycetota
SGB_022	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota
SGB_023	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga petrophila	Thermotogota
SGB_024	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga neapolitana	Thermotogota
TRUNC_050	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_070	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_090	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_100	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
SGB_001	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Desulfobulbus oralis	Desulfobacterota
SGB_002	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	Methane metabolism	Methane production	mcrABC	true	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
SGB_011	Methane metabolism	Methane production	mcrABC	true	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocatella oralis	Methanobacteriota
SGB_012	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota
SGB_013	Methane metabolism	Methane production	mcrABC	true	METABOLIC curated HMM/motif rule	Primary real MAG	Methanococcus maripaludis_D	AGJL01
SGB_014	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Persephonella marina	Aquificota
SGB_015	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota
SGB_016	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota
SGB_017	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota
SGB_018	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nanoarchaeum equitans	Nanobdellota
SGB_019	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B
SGB_020	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Halobacterium salinarum	Halobacteriota
SGB_021	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Rhodopirellula baltica	Planctomycetota
SGB_022	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota
SGB_023	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga petrophila	Thermotogota
SGB_024	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga neapolitana	Thermotogota
TRUNC_050	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_070	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_090	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_100	Methane metabolism	Methane production	mcrABC	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
SGB_001	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Desulfobulbus oralis	Desulfobacterota
SGB_002	Nitrogen cycling	Ammonia oxidation	amoABC	true	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
SGB_011	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocatella oralis	Methanobacteriota
SGB_012	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota
SGB_013	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanococcus maripaludis_D	AGJL01
SGB_014	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Persephonella marina	Aquificota
SGB_015	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota
SGB_016	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota
SGB_017	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota
SGB_018	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nanoarchaeum equitans	Nanobdellota
SGB_019	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B
SGB_020	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Halobacterium salinarum	Halobacteriota
SGB_021	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Rhodopirellula baltica	Planctomycetota
SGB_022	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota
SGB_023	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga petrophila	Thermotogota
SGB_024	Nitrogen cycling	Ammonia oxidation	amoABC	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga neapolitana	Thermotogota
TRUNC_050	Nitrogen cycling	Ammonia oxidation	amoABC	true	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_070	Nitrogen cycling	Ammonia oxidation	amoABC	true	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_090	Nitrogen cycling	Ammonia oxidation	amoABC	true	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_100	Nitrogen cycling	Ammonia oxidation	amoABC	true	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
SGB_001	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Desulfobulbus oralis	Desulfobacterota
SGB_002	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
SGB_011	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocatella oralis	Methanobacteriota
SGB_012	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota
SGB_013	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanococcus maripaludis_D	AGJL01
SGB_014	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Persephonella marina	Aquificota
SGB_015	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota
SGB_016	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota
SGB_017	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota
SGB_018	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nanoarchaeum equitans	Nanobdellota
SGB_019	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B
SGB_020	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Halobacterium salinarum	Halobacteriota
SGB_021	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Rhodopirellula baltica	Planctomycetota
SGB_022	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota
SGB_023	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga petrophila	Thermotogota
SGB_024	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga neapolitana	Thermotogota
TRUNC_050	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_070	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_090	Nitrogen cycling	Anammox	hzoA||hzsA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
