Genome	Species	Tool	Stage	Medium	MediumDefinition	EnvironmentalConditionDuringGapfill	SolverStatus	BiomassObjective	GrowthAbove1e-6	Interpretation
SGB_010	Methanocaldococcus jannaschii	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_010	Methanocaldococcus jannaschii	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_010	Methanocaldococcus jannaschii	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_010	Methanocaldococcus jannaschii	gapseq	Gap-filled	Construction medium	gapseq MM_anaerobic_CO2_H2.csv; official methanogen tutorial medium	highH2	OPTIMAL	0.123305385	true	constraint feasibility; not measured growth
SGB_010	Methanocaldococcus jannaschii	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_010	Methanocaldococcus jannaschii	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_010	Methanocaldococcus jannaschii	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_010	Methanocaldococcus jannaschii	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_010	Methanocaldococcus jannaschii	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_010	Methanocaldococcus jannaschii	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_010	Methanocaldococcus jannaschii	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	5.58334355	true	constraint feasibility; not measured growth
SGB_010	Methanocaldococcus jannaschii	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_010	Methanocaldococcus jannaschii	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_016	Caldicellulosiruptor saccharolyticus	gapseq	Draft	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_016	Caldicellulosiruptor saccharolyticus	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_016	Caldicellulosiruptor saccharolyticus	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_016	Caldicellulosiruptor saccharolyticus	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_016	Caldicellulosiruptor saccharolyticus	gapseq	Gap-filled	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0.55443197	true	constraint feasibility; not measured growth
SGB_016	Caldicellulosiruptor saccharolyticus	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0.55443197	true	constraint feasibility; not measured growth
SGB_016	Caldicellulosiruptor saccharolyticus	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_016	Caldicellulosiruptor saccharolyticus	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_016	Caldicellulosiruptor saccharolyticus	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_016	Caldicellulosiruptor saccharolyticus	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_016	Caldicellulosiruptor saccharolyticus	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_016	Caldicellulosiruptor saccharolyticus	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	0.371398294	true	constraint feasibility; not measured growth
SGB_016	Caldicellulosiruptor saccharolyticus	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_016	Caldicellulosiruptor saccharolyticus	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_018	Nanoarchaeum equitans	gapseq	Draft	Construction medium	gapseq meerwasser.csv; marine host-rich proxy for an obligate symbiont	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_018	Nanoarchaeum equitans	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_018	Nanoarchaeum equitans	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_018	Nanoarchaeum equitans	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_018	Nanoarchaeum equitans	gapseq	Gap-filled	Construction medium	gapseq meerwasser.csv; marine host-rich proxy for an obligate symbiont	none	OPTIMAL	4.78048669	true	constraint feasibility; not measured growth
SGB_018	Nanoarchaeum equitans	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_018	Nanoarchaeum equitans	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_018	Nanoarchaeum equitans	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_018	Nanoarchaeum equitans	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_018	Nanoarchaeum equitans	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_018	Nanoarchaeum equitans	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_018	Nanoarchaeum equitans	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	0.546857669	true	constraint feasibility; not measured growth
SGB_018	Nanoarchaeum equitans	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_018	Nanoarchaeum equitans	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_021	Rhodopirellula baltica	gapseq	Draft	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_021	Rhodopirellula baltica	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_021	Rhodopirellula baltica	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_021	Rhodopirellula baltica	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_021	Rhodopirellula baltica	gapseq	Gap-filled	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	1.71300109	true	constraint feasibility; not measured growth
SGB_021	Rhodopirellula baltica	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	1.71300109	true	constraint feasibility; not measured growth
SGB_021	Rhodopirellula baltica	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_021	Rhodopirellula baltica	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_021	Rhodopirellula baltica	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_021	Rhodopirellula baltica	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_021	Rhodopirellula baltica	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_021	Rhodopirellula baltica	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	1.41341224	true	constraint feasibility; not measured growth
SGB_021	Rhodopirellula baltica	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0.729788396	true	constraint feasibility; not measured growth
SGB_021	Rhodopirellula baltica	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_024	Thermotoga neapolitana	gapseq	Draft	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_024	Thermotoga neapolitana	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_024	Thermotoga neapolitana	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_024	Thermotoga neapolitana	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_024	Thermotoga neapolitana	gapseq	Gap-filled	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0.957217835	true	constraint feasibility; not measured growth
SGB_024	Thermotoga neapolitana	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0.957217835	true	constraint feasibility; not measured growth
SGB_024	Thermotoga neapolitana	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_024	Thermotoga neapolitana	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_024	Thermotoga neapolitana	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_024	Thermotoga neapolitana	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_024	Thermotoga neapolitana	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_024	Thermotoga neapolitana	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	0.403321645	true	constraint feasibility; not measured growth
SGB_024	Thermotoga neapolitana	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_024	Thermotoga neapolitana	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_050	Nitrosomonas europaea	gapseq	Draft	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_050	Nitrosomonas europaea	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_050	Nitrosomonas europaea	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_050	Nitrosomonas europaea	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_050	Nitrosomonas europaea	gapseq	Gap-filled	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0.0477333877	true	constraint feasibility; not measured growth
TRUNC_050	Nitrosomonas europaea	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0.0477333877	true	constraint feasibility; not measured growth
TRUNC_050	Nitrosomonas europaea	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_050	Nitrosomonas europaea	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_050	Nitrosomonas europaea	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_050	Nitrosomonas europaea	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_050	Nitrosomonas europaea	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_050	Nitrosomonas europaea	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	0.535574749	true	constraint feasibility; not measured growth
TRUNC_050	Nitrosomonas europaea	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_050	Nitrosomonas europaea	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_070	Nitrosomonas europaea	gapseq	Draft	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_070	Nitrosomonas europaea	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_070	Nitrosomonas europaea	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_070	Nitrosomonas europaea	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_070	Nitrosomonas europaea	gapseq	Gap-filled	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0.186068661	true	constraint feasibility; not measured growth
TRUNC_070	Nitrosomonas europaea	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0.186068661	true	constraint feasibility; not measured growth
TRUNC_070	Nitrosomonas europaea	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_070	Nitrosomonas europaea	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_070	Nitrosomonas europaea	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_070	Nitrosomonas europaea	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_070	Nitrosomonas europaea	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_070	Nitrosomonas europaea	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	0.424203496	true	constraint feasibility; not measured growth
TRUNC_070	Nitrosomonas europaea	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_070	Nitrosomonas europaea	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_090	Nitrosomonas europaea	gapseq	Draft	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_090	Nitrosomonas europaea	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_090	Nitrosomonas europaea	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_090	Nitrosomonas europaea	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_090	Nitrosomonas europaea	gapseq	Gap-filled	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0.903169864	true	constraint feasibility; not measured growth
TRUNC_090	Nitrosomonas europaea	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0.903169864	true	constraint feasibility; not measured growth
TRUNC_090	Nitrosomonas europaea	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_090	Nitrosomonas europaea	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_090	Nitrosomonas europaea	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_090	Nitrosomonas europaea	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_090	Nitrosomonas europaea	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_090	Nitrosomonas europaea	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	0.805286076	true	constraint feasibility; not measured growth
TRUNC_090	Nitrosomonas europaea	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_090	Nitrosomonas europaea	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_100	Nitrosomonas europaea	gapseq	Draft	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_100	Nitrosomonas europaea	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_100	Nitrosomonas europaea	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_100	Nitrosomonas europaea	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_100	Nitrosomonas europaea	gapseq	Gap-filled	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0.903169864	true	constraint feasibility; not measured growth
TRUNC_100	Nitrosomonas europaea	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0.903169864	true	constraint feasibility; not measured growth
TRUNC_100	Nitrosomonas europaea	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_100	Nitrosomonas europaea	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_100	Nitrosomonas europaea	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_100	Nitrosomonas europaea	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
TRUNC_100	Nitrosomonas europaea	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
TRUNC_100	Nitrosomonas europaea	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	0.781177485	true	constraint feasibility; not measured growth
TRUNC_100	Nitrosomonas europaea	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0.668206024	true	constraint feasibility; not measured growth
