Genome	GenomeID	SourceStage	SourceBranch	Completeness	Contamination	MIMAGQuality	Contigs	GenomeBp	N50Bp	SHA256	Path
binette__022.fna	binette__022	Article44-selected	Binette selected set	100.0	0.14	Medium quality	94	2653984	55634	7aa8352e35b8586d596ed820445898846b0c9ab7d02bef825b44ac27702e25a7	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__022.fna
binette__023.fna	binette__023	Article44-selected	Binette selected set	99.91	0.12	Medium quality	43	1733559	79303	e21379b05a2d8bfee13a32910f8ba4bbf89aa9f3f0c36ea9933e0e27cd5cf43b	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__023.fna
binette__024.fna	binette__024	Article44-selected	Binette selected set	99.93	0.15	Medium quality	54	1698339	82868	77e8136b6b221277df458756be3ed1c72bf834589b89611b6a3292a4dc625947	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__024.fna
binette__025.fna	binette__025	Article44-selected	Binette selected set	99.97	0.28	Medium quality	306	6481038	46222	322ff7a31426f03680bc0e500ef998b01f300b4174bc7635e79f2650e6e5b806	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__025.fna
binette__026.fna	binette__026	Article44-selected	Binette selected set	99.98	0.21	Medium quality	65	2595739	59244	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__026.fna
metabat2-mock1__003.fna	metabat2-mock1__003	Article42-QC-pass	MetaBAT2-MOCK1-only	99.92	0.44	Not re-audited for complete markers	242	6014960	49681	e7c1729037547241904dfa9e8057913208a207ba2d0036f499dd2603bbfe194a	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__003.fna
metabat2-mock1__004.fna	metabat2-mock1__004	Article42-QC-pass	MetaBAT2-MOCK1-only	99.71	7.18	Not re-audited for complete markers	1051	5278744	6481	43dc910a95795aaafb1a79e6e0e85fbfdac683cbf551de6a9e19e130550de8e9	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__004.fna
metabat2-mock1__005.fna	metabat2-mock1__005	Article42-QC-pass	MetaBAT2-MOCK1-only	99.69	0.09	Not re-audited for complete markers	38	1653443	79303	2bfaaaac9fcd6467133b135a8d13de48439241c4be99021ca803a557f561803e	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__005.fna
metabat2-mock1__006.fna	metabat2-mock1__006	Article42-QC-pass	MetaBAT2-MOCK1-only	88.65	0.01	Not re-audited for complete markers	195	1973287	14674	3333babd1055dd471540e40bf69e167d30e32617973847e641a152b7c0e1063e	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__006.fna
metabat2-mock1__007.fna	metabat2-mock1__007	Article42-QC-pass	MetaBAT2-MOCK1-only	96.63	0.22	Not re-audited for complete markers	272	2119376	11648	2431254278bb892e93da17694172f57f5968df6670ea6e5de0e29760d8fdcb1a	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__007.fna
metabat2-mock1__009.fna	metabat2-mock1__009	Article42-QC-pass	MetaBAT2-MOCK1-only	96.21	0.55	Not re-audited for complete markers	120	2023018	26973	9affb9532013f27ad75e9fb6dface5a8b0250e21b74aca75120892dccec809f6	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__009.fna
metabat2-mock1__011.fna	metabat2-mock1__011	Article42-QC-pass	MetaBAT2-MOCK1-only	68.79	1.7	Not re-audited for complete markers	362	1117177	3424	828a7d33a358ca5b8cde8812b1a428af22bb5164bf084f93a0124ca8cdc6f94a	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__011.fna
metabat2-mock1__012.fna	metabat2-mock1__012	Article42-QC-pass	MetaBAT2-MOCK1-only	99.46	0.19	Not re-audited for complete markers	12	1733271	443866	612656befe4ad9c56f9f56189eaeb44b409775bc837f51c78f49b9bcf46c5bd9	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__012.fna
metabat2-mock1__017.fna	metabat2-mock1__017	Article42-QC-pass	MetaBAT2-MOCK1-only	99.7	0.75	Not re-audited for complete markers	108	2062748	41813	c6d9e4fc727fc7bd5d61a041ceafade1f80f86e064f3e345e06ffbf487c56778	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__017.fna
metabat2-mock1__018.fna	metabat2-mock1__018	Article42-QC-pass	MetaBAT2-MOCK1-only	97.42	3.87	Not re-audited for complete markers	669	6884040	15447	d6fef3bdb22d717b2e97a85e0fd7c0b6bd6a86bcebc4494af210988876f006a0	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__018.fna
metabat2-mock1__019.fna	metabat2-mock1__019	Article42-QC-pass	MetaBAT2-MOCK1-only	96.92	0.02	Not re-audited for complete markers	60	2510361	50296	b2280a4dabcb1d9e96399256074a5e48117c031d1e421d3dba750df703dfa599	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__019.fna
metabat2-mock1__020.fna	metabat2-mock1__020	Article42-QC-pass	MetaBAT2-MOCK1-only	99.98	0.35	Not re-audited for complete markers	59	2156038	68740	fd75bb028d9b3b393e4b15d07af7767db21cfe1dffc1bb0e7e3cdbadde5b803b	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__020.fna
metabat2-mock1__023.fna	metabat2-mock1__023	Article42-QC-pass	MetaBAT2-MOCK1-only	98.88	0.44	Not re-audited for complete markers	5	1893794	672984	6368094fa97d5c7e70b54e062f6cda83c8571fab20175eca0d2ffea82607eaf6	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__023.fna
metabat2-mock1__024.fna	metabat2-mock1__024	Article42-QC-pass	MetaBAT2-MOCK1-only	98.98	0.37	Not re-audited for complete markers	42	1635307	82868	45f15ad380e366b00eacb985584780c4f5e533aae2a844b7d4208ce5a38e7523	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__024.fna
metabat2-mock1__025.fna	metabat2-mock1__025	Article42-QC-pass	MetaBAT2-MOCK1-only	100.0	0.22	Not re-audited for complete markers	50	1896031	48450	532640f3ede108828f7a41439aa4e6b64944a6fea2a1b09767a659365d167a7d	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__025.fna
metabat2-mock1__026.fna	metabat2-mock1__026	Article42-QC-pass	MetaBAT2-MOCK1-only	99.98	0.21	Not re-audited for complete markers	65	2595739	59244	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__026.fna
metabat2-mock1__027.fna	metabat2-mock1__027	Article42-QC-pass	MetaBAT2-MOCK1-only	99.95	0.8	Not re-audited for complete markers	13	4629413	432090	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__027.fna
metabat2-mock1__028.fna	metabat2-mock1__028	Article42-QC-pass	MetaBAT2-MOCK1-only	99.09	1.9	Not re-audited for complete markers	34	1868594	88409	3b86b0135bf7ad4366c7c5b75eed359561f1a607a3245bbcd7cde2079c8cdabe	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__028.fna
metabat2-mock1__029.fna	metabat2-mock1__029	Article42-QC-pass	MetaBAT2-MOCK1-only	99.99	0.21	Not re-audited for complete markers	76	2490170	58955	4aba2925fa45e4482b691964bcc94f921ab8b76dc0734078e84e8d7457dda4f8	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__029.fna
metabat2-mock1__030.fna	metabat2-mock1__030	Article42-QC-pass	MetaBAT2-MOCK1-only	87.33	0.21	Not re-audited for complete markers	70	418156	8323	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__030.fna
metabat2-mock1__032.fna	metabat2-mock1__032	Article42-QC-pass	MetaBAT2-MOCK1-only	87.86	0.0	Not re-audited for complete markers	71	2396218	67435	57130e9d7c3920cf4845912633053c12214347e7f057b776e7cdd49911825450	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__032.fna
metabat2-mock1__033.fna	metabat2-mock1__033	Article42-QC-pass	MetaBAT2-MOCK1-only	78.76	0.31	Not re-audited for complete markers	268	1073351	4713	8156c5a438368382f3e8ae0c244044381aae18a12adb9dc9d687d53ca599107d	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-mock1__033.fna
metabat2-multisample__003.fna	metabat2-multisample__003	Article42-QC-pass	MetaBAT2-multisample	100.0	0.22	Not re-audited for complete markers	50	1896031	48450	532640f3ede108828f7a41439aa4e6b64944a6fea2a1b09767a659365d167a7d	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__003.fna
metabat2-multisample__005.fna	metabat2-multisample__005	Article42-QC-pass	MetaBAT2-multisample	78.77	0.31	Not re-audited for complete markers	269	1078802	4753	000638abaf26cf2654bf9700f9830b8b31fd367f6be9d608b604033ce9fef676	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__005.fna
metabat2-multisample__006.fna	metabat2-multisample__006	Article42-QC-pass	MetaBAT2-multisample	89.22	0.06	Not re-audited for complete markers	87	2561003	67277	7d6bf807688130c9a891d4d715a608f94513340da7ccf7183500adcb0ca59018	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__006.fna
metabat2-multisample__008.fna	metabat2-multisample__008	Article42-QC-pass	MetaBAT2-multisample	99.98	0.06	Not re-audited for complete markers	72	2575200	50296	81abc5afae69006fdfca04e97708181a09331fca546adf115b78fd7ae40b90bd	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__008.fna
metabat2-multisample__011.fna	metabat2-multisample__011	Article42-QC-pass	MetaBAT2-multisample	97.67	3.87	Not re-audited for complete markers	672	6898110	15447	b8ada533b2a7d7b93fc9e6bd09da7a5ddc3137f6dca040d263ab7cbf2cbbf196	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__011.fna
metabat2-multisample__012.fna	metabat2-multisample__012	Article42-QC-pass	MetaBAT2-multisample	99.98	0.21	Not re-audited for complete markers	65	2595739	59244	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__012.fna
metabat2-multisample__013.fna	metabat2-multisample__013	Article42-QC-pass	MetaBAT2-multisample	95.82	0.23	Not re-audited for complete markers	262	2096622	11697	fef9ca05fc3001568955367326c61f18e78bc3c4b98d7ff9ea838f5b360a5767	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__013.fna
metabat2-multisample__014.fna	metabat2-multisample__014	Article42-QC-pass	MetaBAT2-multisample	99.55	0.77	Not re-audited for complete markers	37	1797649	88409	3106af4a83c58d9c757865fdee6fb40f9c9134f3a1689d2a5eee4a3758a9e407	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__014.fna
metabat2-multisample__017.fna	metabat2-multisample__017	Article42-QC-pass	MetaBAT2-multisample	99.46	0.19	Not re-audited for complete markers	10	1727173	443866	455f49ec6b88b1b079e2906d65fe16e298a9daaab79ac5023cdfc98048cab0bd	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__017.fna
metabat2-multisample__018.fna	metabat2-multisample__018	Article42-QC-pass	MetaBAT2-multisample	99.55	6.95	Not re-audited for complete markers	1024	5210977	6611	eb10464f9e951abd418634afd92c39455180c5d8326a5a6857468ec5de0b96a8	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__018.fna
metabat2-multisample__019.fna	metabat2-multisample__019	Article42-QC-pass	MetaBAT2-multisample	99.95	0.8	Not re-audited for complete markers	13	4629413	432090	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__019.fna
metabat2-multisample__021.fna	metabat2-multisample__021	Article42-QC-pass	MetaBAT2-multisample	99.35	0.41	Not re-audited for complete markers	41	1713679	82868	2954bcf0b54026554032658ae8f6ba72d8bc747edc036d639fb198698f0ca955	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__021.fna
metabat2-multisample__022.fna	metabat2-multisample__022	Article42-QC-pass	MetaBAT2-multisample	96.25	0.61	Not re-audited for complete markers	120	2022086	26973	423db9b97f774417d6d1c2980d72787a667e1774bfd4d0ddf03fb8bceff7148d	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__022.fna
metabat2-multisample__023.fna	metabat2-multisample__023	Article42-QC-pass	MetaBAT2-multisample	99.71	0.79	Not re-audited for complete markers	108	2055695	41813	3cd4aaad3d8fc666569fa198394440954364728ed6167563370cb97957455670	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__023.fna
metabat2-multisample__024.fna	metabat2-multisample__024	Article42-QC-pass	MetaBAT2-multisample	100.0	0.25	Not re-audited for complete markers	78	2506842	58955	98f90aaa1fb8bbb19e5606f6db6db43f5d5db229d33008d122bf04bcd8dd4eed	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__024.fna
metabat2-multisample__025.fna	metabat2-multisample__025	Article42-QC-pass	MetaBAT2-multisample	98.88	0.44	Not re-audited for complete markers	5	1893794	672984	6368094fa97d5c7e70b54e062f6cda83c8571fab20175eca0d2ffea82607eaf6	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__025.fna
metabat2-multisample__026.fna	metabat2-multisample__026	Article42-QC-pass	MetaBAT2-multisample	99.99	0.34	Not re-audited for complete markers	60	2156473	68740	df31fe0e9bab5b3ea856f7ba2f31a59bb952b9909581435bd7837af609982beb	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__026.fna
metabat2-multisample__027.fna	metabat2-multisample__027	Article42-QC-pass	MetaBAT2-multisample	99.91	0.41	Not re-audited for complete markers	241	5984631	50724	1fbb2098165e0f6b06d12849709e9a8e5c6eff30301e6d6b800f22d31299ad86	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__027.fna
metabat2-multisample__028.fna	metabat2-multisample__028	Article42-QC-pass	MetaBAT2-multisample	88.85	0.02	Not re-audited for complete markers	196	1990526	14674	abc987f1a5e8904919ea4599b2cea19609a0832cb2e639df318ccb5ae00ecb9d	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__028.fna
metabat2-multisample__030.fna	metabat2-multisample__030	Article42-QC-pass	MetaBAT2-multisample	87.32	0.21	Not re-audited for complete markers	69	416109	8323	8552f3550b9bf3c62a4494c53e38cbd8c19ac1da654a8bfeabc498be0ea88589	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__030.fna
metabat2-multisample__033.fna	metabat2-multisample__033	Article42-QC-pass	MetaBAT2-multisample	99.91	0.12	Not re-audited for complete markers	43	1733559	79303	e21379b05a2d8bfee13a32910f8ba4bbf89aa9f3f0c36ea9933e0e27cd5cf43b	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__033.fna
metabat2-multisample__034.fna	metabat2-multisample__034	Article42-QC-pass	MetaBAT2-multisample	68.85	1.62	Not re-audited for complete markers	361	1116360	3424	699fea31c0c36799573b4045f4fb1550021688c61f27e3392996e0c6624317bb	${ARTICLE45_WORK_DIR}/inputs/genomes/metabat2-multisample__034.fna
semibin2__003.fna	semibin2__003	Article42-QC-pass	SemiBin2-self-supervised	96.64	6.52	Not re-audited for complete markers	930	4868198	6789	78c23e33d72fa0f1f06f10d8f1bfb5f970bfc423ef0f3ff56e90f43665fbe8d9	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__003.fna
semibin2__004.fna	semibin2__004	Article42-QC-pass	SemiBin2-self-supervised	97.94	0.16	Not re-audited for complete markers	258	2092156	11697	fcf0a291bbda6a158ae8ac5c63a27fce28174e4127483269e42913d7dc3e9c77	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__004.fna
semibin2__006.fna	semibin2__006	Article42-QC-pass	SemiBin2-self-supervised	77.56	6.8	Not re-audited for complete markers	471	1584296	3733	48dba4d41ba0ed8af00e5b22bcd50b6e0dc71214ddb5c86211435c1d83c1fedd	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__006.fna
semibin2__007.fna	semibin2__007	Article42-QC-pass	SemiBin2-self-supervised	68.71	1.64	Not re-audited for complete markers	360	1112414	3426	495f60d57ada83d59415627de2c9099658f5ca19387cd77f0a331e9fbc731b2f	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__007.fna
semibin2__012.fna	semibin2__012	Article42-QC-pass	SemiBin2-self-supervised	99.35	0.41	Not re-audited for complete markers	42	1716008	82868	caf3108ded790222573031333e70f6dc2a6594e067562b86d6bf73bd5c9a1845	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__012.fna
semibin2__014.fna	semibin2__014	Article42-QC-pass	SemiBin2-self-supervised	99.51	0.78	Not re-audited for complete markers	36	1794411	88409	bee8606fdcf10e0f450ac8540edbc840da940977c5807f5cd26a3fabab1e1790	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__014.fna
semibin2__015.fna	semibin2__015	Article42-QC-pass	SemiBin2-self-supervised	78.95	0.29	Not re-audited for complete markers	272	1083632	4753	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__015.fna
semibin2__017.fna	semibin2__017	Article42-QC-pass	SemiBin2-self-supervised	99.77	0.53	Not re-audited for complete markers	108	2059119	41813	1a09a0563a02613a9a3a019c646279358e7e96c0047b7459ce3bc90db1377407	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__017.fna
semibin2__018.fna	semibin2__018	Article42-QC-pass	SemiBin2-self-supervised	59.51	0.0	Not re-audited for complete markers	324	946551	3170	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__018.fna
semibin2__019.fna	semibin2__019	Article42-QC-pass	SemiBin2-self-supervised	99.84	0.26	Not re-audited for complete markers	240	5942474	50724	498c6de4781ded3d0699fafc7de4f3ad4147e0ce4f301e2bbe714c534426778b	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__019.fna
semibin2__020.fna	semibin2__020	Article42-QC-pass	SemiBin2-self-supervised	89.61	0.02	Not re-audited for complete markers	199	2000542	14503	5a24399386277d9a8baa1001aee0fb331f24d173be22d398dfc32b11e9741587	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__020.fna
semibin2__023.fna	semibin2__023	Article42-QC-pass	SemiBin2-self-supervised	99.98	0.21	Not re-audited for complete markers	70	2625969	59244	2580b58a3218f0dafa857976c91fa594af7266adba20fd6fa77a9e4e5bd73c01	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__023.fna
semibin2__027.fna	semibin2__027	Article42-QC-pass	SemiBin2-self-supervised	100.0	1.92	Not re-audited for complete markers	104	2621240	58864	93dfd838854ebc1197c9acb2479ca104b424b8e539e76c41f24371978f0347d1	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__027.fna
semibin2__028.fna	semibin2__028	Article42-QC-pass	SemiBin2-self-supervised	88.16	0.07	Not re-audited for complete markers	91	2522617	67277	d0806cd2d5c6eaba589d1025958e33c8f85555c72684841b4935a7ca69dced64	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__028.fna
semibin2__029.fna	semibin2__029	Article42-QC-pass	SemiBin2-self-supervised	99.99	0.28	Not re-audited for complete markers	73	2622359	47024	cfaae9ef674d5dacc09b23a650675e377dfdfc1b13af9a0002416e067fecf7e6	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__029.fna
semibin2__030.fna	semibin2__030	Article42-QC-pass	SemiBin2-self-supervised	99.99	0.44	Not re-audited for complete markers	64	2211895	68740	a7fe709ab575ab387dd9bc6277cb8921a770979c6d87ea2543ff64c7e11c0e0f	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__030.fna
semibin2__031.fna	semibin2__031	Article42-QC-pass	SemiBin2-self-supervised	86.5	0.19	Not re-audited for complete markers	73	426162	8280	70f4058f8c2c5078c9371d9c1d17094394e637088f47fc250a8e44e22f4232bd	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__031.fna
semibin2__035.fna	semibin2__035	Article42-QC-pass	SemiBin2-self-supervised	97.31	3.96	Not re-audited for complete markers	647	6738167	15929	c88b96aba4e98f6bf1cc88939d5d7ff023ce8a71ec9fccf55cbbbf9345ed600f	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__035.fna
semibin2__036.fna	semibin2__036	Article42-QC-pass	SemiBin2-self-supervised	100.0	0.22	Not re-audited for complete markers	52	1901513	48108	a6ba418663d08d660e392207b0627cf7323b5fef83965ec37e687f197920b37f	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__036.fna
semibin2__038.fna	semibin2__038	Article42-QC-pass	SemiBin2-self-supervised	99.92	0.12	Not re-audited for complete markers	43	1727858	79303	7e764b2ccf81fc2b0d23d77ec6f43e2b6aae6da537e47c95d0f9002335229dc2	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__038.fna
semibin2__039.fna	semibin2__039	Article42-QC-pass	SemiBin2-self-supervised	99.47	0.19	Not re-audited for complete markers	13	1734578	443866	de9ebb57e77bbd937144700aabc6231a2c50da8c429c824fb3c5ce40d88f3bff	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__039.fna
semibin2__040.fna	semibin2__040	Article42-QC-pass	SemiBin2-self-supervised	98.03	0.56	Not re-audited for complete markers	128	2050369	26973	d0e99a37eb39dac8f3a4574c737b55b579aa992aeab92c84608e635d3396338e	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__040.fna
semibin2__041.fna	semibin2__041	Article42-QC-pass	SemiBin2-self-supervised	99.96	0.92	Not re-audited for complete markers	20	4666117	432090	08121832745e4f768a4a9bf398da84c647cd59125a3a033b3a1d76c71aa9d758	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__041.fna
semibin2__043.fna	semibin2__043	Article42-QC-pass	SemiBin2-self-supervised	100.0	0.48	Not re-audited for complete markers	8	1920309	672984	f9cb447c36eebe1ad17d2c773f6fc751e2e9892b50c0415deed4835901794c1b	${ARTICLE45_WORK_DIR}/inputs/genomes/semibin2__043.fna
taxvamb__002.fna	taxvamb__002	Article42-QC-pass	TaxVAMB-Kraken2	100.0	0.59	Not re-audited for complete markers	101	2736388	55634	9290e20c72da17b77d6001f47cdcedc754568ccc55e05942fe9093f634e183b0	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__002.fna
taxvamb__004.fna	taxvamb__004	Article42-QC-pass	TaxVAMB-Kraken2	99.98	0.21	Not re-audited for complete markers	79	2656340	56680	46f2c255c2b721603c0d505f37823bb402a4c0d17840d30f5de1afb2500392fa	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__004.fna
