Branch	ANIThresholdPct	Cluster	Representative	Members	MemberGenomes	MemberSourceStages	RepresentativeSourceStage	RepresentativeSourceBranch	Completeness	Contamination	N50Bp	GenomeBp	MIMAGQuality	dRepScore
Species 95% ANI	95.0	11_1	taxvamb__008.fna	5	binette__004.fna;metabat2-mock1__017.fna;metabat2-multisample__023.fna;semibin2__017.fna;taxvamb__008.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	TaxVAMB-Kraken2	99.41	0.33	44823	1937978	Not re-audited for complete markers	100.13575046023432
Species 95% ANI	95.0	12_1	binette__009.fna	6	binette__009.fna;metabat2-mock1__007.fna;metabat2-multisample__013.fna;semibin2__004.fna;taxvamb__014.fna;vamb__006.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	98.68	0.29	11618	2147088	Medium quality	99.3125656860701
Species 95% ANI	95.0	13_1	binette__018.fna	3	binette__018.fna;semibin2__006.fna;taxvamb__028.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	72.13	3.33	4054	1366218	Medium quality	57.33394187217849
Species 95% ANI	95.0	14_1	semibin2__043.fna	6	binette__003.fna;metabat2-mock1__023.fna;metabat2-multisample__025.fna;semibin2__043.fna;taxvamb__015.fna;vamb__009.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	SemiBin2-self-supervised	100.0	0.48	672984	1920309	Not re-audited for complete markers	100.56400236956048
Species 95% ANI	95.0	15_1	binette__017.fna	5	binette__017.fna;metabat2-mock1__011.fna;metabat2-multisample__034.fna;semibin2__007.fna;vamb__020.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	69.48	1.49	3441	1122363	Medium quality	63.848342336310466
Species 95% ANI	95.0	16_1	binette__001.fna	4	binette__001.fna;metabat2-mock1__032.fna;metabat2-multisample__006.fna;semibin2__028.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.99	0.02	67435	2770249	Medium quality	102.35418501425355
Species 95% ANI	95.0	17_1	binette__002.fna	4	binette__002.fna;metabat2-mock1__020.fna;metabat2-multisample__026.fna;semibin2__030.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.98	0.31	68740	2151032	Medium quality	100.89860476390061
Species 95% ANI	95.0	18_1	binette__013.fna	5	binette__013.fna;metabat2-mock1__030.fna;metabat2-multisample__030.fna;semibin2__031.fna;vamb__008.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	87.33	0.21	8323	418156	Medium quality	88.29013994731648
Species 95% ANI	95.0	19_1	binette__005.fna	6	binette__005.fna;metabat2-mock1__012.fna;metabat2-multisample__017.fna;semibin2__039.fna;taxvamb__022.fna;vamb__012.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.47	0.19	443866	1736697	High quality	101.39349953973738
Species 95% ANI	95.0	20_1	semibin2__020.fna	5	metabat2-mock1__006.fna;metabat2-multisample__028.fna;semibin2__020.fna;taxvamb__013.fna;vamb__005.fna	Article42-QC-pass	Article42-QC-pass	SemiBin2-self-supervised	89.61	0.02	14503	2000542	Not re-audited for complete markers	91.64072792348588
Species 95% ANI	95.0	21_1	binette__011.fna	6	binette__011.fna;metabat2-mock1__018.fna;metabat2-multisample__011.fna;semibin2__035.fna;taxvamb__011.fna;vamb__004.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	97.85	3.87	15347	6915991	High quality	80.64301174655871
Species 95% ANI	95.0	22_1	binette__006.fna	6	binette__006.fna;metabat2-mock1__027.fna;metabat2-multisample__019.fna;semibin2__041.fna;taxvamb__025.fna;vamb__001.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.94	0.79	432090	4629413	High quality	98.85773410770425
Species 95% ANI	95.0	23_1	binette__024.fna	4	binette__024.fna;metabat2-mock1__024.fna;metabat2-multisample__021.fna;semibin2__012.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.93	0.15	82868	1698339	Medium quality	101.68919342868669
Species 95% ANI	95.0	24_1	binette__007.fna	5	binette__007.fna;metabat2-mock1__028.fna;metabat2-multisample__014.fna;semibin2__014.fna;taxvamb__027.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.5	0.45	88409	1772843	Medium quality	99.771973739132
Near-clone 99.9% ANI	99.9	1_1	vamb__025.fna	6	binette__026.fna;metabat2-mock1__026.fna;metabat2-multisample__012.fna;semibin2__023.fna;taxvamb__004.fna;vamb__025.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	VAMB-taxonomy-free	99.95	0.2	59244	2614762	Not re-audited for complete markers	101.33723758663358
Near-clone 99.9% ANI	99.9	2_1	binette__012.fna	6	binette__012.fna;metabat2-mock1__019.fna;metabat2-multisample__008.fna;semibin2__029.fna;taxvamb__035.fna;vamb__022.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	100.0	0.04	47024	2643322	High quality	102.13698998436426
Near-clone 99.9% ANI	99.9	3_1	binette__008.fna	6	binette__008.fna;metabat2-mock1__009.fna;metabat2-multisample__022.fna;semibin2__040.fna;taxvamb__012.fna;vamb__003.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	98.69	0.55	26973	2039351	Medium quality	98.15634422619249
Near-clone 99.9% ANI	99.9	4_1	vamb__002.fna	6	binette__021.fna;metabat2-mock1__025.fna;metabat2-multisample__003.fna;semibin2__036.fna;taxvamb__007.fna;vamb__002.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	VAMB-taxonomy-free	100.0	0.05	48108	1906417	Not re-audited for complete markers	102.09192685114907
Near-clone 99.9% ANI	99.9	5_1	binette__022.fna	6	binette__022.fna;metabat2-mock1__029.fna;metabat2-multisample__024.fna;semibin2__027.fna;taxvamb__002.fna;vamb__023.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	100.0	0.14	55634	2653984	Medium quality	101.67367014308812
Near-clone 99.9% ANI	99.9	6_1	metabat2-multisample__018.fna	4	binette__014.fna;metabat2-mock1__004.fna;metabat2-multisample__018.fna;semibin2__003.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	MetaBAT2-multisample	99.55	6.95	6611	5210977	Not re-audited for complete markers	66.71103091191381
Near-clone 99.9% ANI	99.9	7_1	binette__025.fna	6	binette__025.fna;metabat2-mock1__003.fna;metabat2-multisample__027.fna;semibin2__019.fna;taxvamb__033.fna;vamb__021.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.97	0.28	46222	6481038	Medium quality	100.90337736661407
Near-clone 99.9% ANI	99.9	8_1	semibin2__018.fna	3	binette__019.fna;semibin2__018.fna;taxvamb__026.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	SemiBin2-self-supervised	59.51	0.0	3170	946551	Not re-audited for complete markers	61.26152963110887
Near-clone 99.9% ANI	99.9	9_1	binette__015.fna	6	binette__015.fna;metabat2-mock1__033.fna;metabat2-multisample__005.fna;semibin2__015.fna;taxvamb__021.fna;vamb__010.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	78.95	0.29	4753	1083632	Medium quality	79.33948290714737
Near-clone 99.9% ANI	99.9	10_1	semibin2__038.fna	5	binette__023.fna;metabat2-mock1__005.fna;metabat2-multisample__033.fna;semibin2__038.fna;taxvamb__034.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	SemiBin2-self-supervised	99.92	0.12	79303	1727858	Not re-audited for complete markers	101.77064480840535
Near-clone 99.9% ANI	99.9	11_1	taxvamb__008.fna	5	binette__004.fna;metabat2-mock1__017.fna;metabat2-multisample__023.fna;semibin2__017.fna;taxvamb__008.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	TaxVAMB-Kraken2	99.41	0.33	44823	1937978	Not re-audited for complete markers	100.08675046023433
Near-clone 99.9% ANI	99.9	12_1	binette__009.fna	6	binette__009.fna;metabat2-mock1__007.fna;metabat2-multisample__013.fna;semibin2__004.fna;taxvamb__014.fna;vamb__006.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	98.68	0.29	11618	2147088	Medium quality	99.26356568607011
Near-clone 99.9% ANI	99.9	13_1	binette__018.fna	3	binette__018.fna;semibin2__006.fna;taxvamb__028.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	72.13	3.33	4054	1366218	Medium quality	57.28494187217849
Near-clone 99.9% ANI	99.9	14_1	semibin2__043.fna	6	binette__003.fna;metabat2-mock1__023.fna;metabat2-multisample__025.fna;semibin2__043.fna;taxvamb__015.fna;vamb__009.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	SemiBin2-self-supervised	100.0	0.48	672984	1920309	Not re-audited for complete markers	100.51500236956049
Near-clone 99.9% ANI	99.9	15_1	binette__017.fna	5	binette__017.fna;metabat2-mock1__011.fna;metabat2-multisample__034.fna;semibin2__007.fna;vamb__020.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	69.48	1.49	3441	1122363	Medium quality	63.79934233631047
Near-clone 99.9% ANI	99.9	16_1	binette__001.fna	4	binette__001.fna;metabat2-mock1__032.fna;metabat2-multisample__006.fna;semibin2__028.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.99	0.02	67435	2770249	Medium quality	102.30518501425355
Near-clone 99.9% ANI	99.9	17_1	binette__002.fna	4	binette__002.fna;metabat2-mock1__020.fna;metabat2-multisample__026.fna;semibin2__030.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.98	0.31	68740	2151032	Medium quality	100.84960476390062
Near-clone 99.9% ANI	99.9	18_1	binette__013.fna	5	binette__013.fna;metabat2-mock1__030.fna;metabat2-multisample__030.fna;semibin2__031.fna;vamb__008.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	87.33	0.21	8323	418156	Medium quality	88.24113994731648
Near-clone 99.9% ANI	99.9	19_1	binette__005.fna	6	binette__005.fna;metabat2-mock1__012.fna;metabat2-multisample__017.fna;semibin2__039.fna;taxvamb__022.fna;vamb__012.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.47	0.19	443866	1736697	High quality	101.34449953973738
Near-clone 99.9% ANI	99.9	20_1	semibin2__020.fna	5	metabat2-mock1__006.fna;metabat2-multisample__028.fna;semibin2__020.fna;taxvamb__013.fna;vamb__005.fna	Article42-QC-pass	Article42-QC-pass	SemiBin2-self-supervised	89.61	0.02	14503	2000542	Not re-audited for complete markers	91.59172792348588
Near-clone 99.9% ANI	99.9	21_1	binette__011.fna	6	binette__011.fna;metabat2-mock1__018.fna;metabat2-multisample__011.fna;semibin2__035.fna;taxvamb__011.fna;vamb__004.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	97.85	3.87	15347	6915991	High quality	80.59401174655872
Near-clone 99.9% ANI	99.9	22_1	binette__006.fna	6	binette__006.fna;metabat2-mock1__027.fna;metabat2-multisample__019.fna;semibin2__041.fna;taxvamb__025.fna;vamb__001.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.94	0.79	432090	4629413	High quality	98.80873410770424
Near-clone 99.9% ANI	99.9	23_1	binette__024.fna	4	binette__024.fna;metabat2-mock1__024.fna;metabat2-multisample__021.fna;semibin2__012.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.93	0.15	82868	1698339	Medium quality	101.6401934286867
Near-clone 99.9% ANI	99.9	24_1	binette__007.fna	4	binette__007.fna;metabat2-mock1__028.fna;metabat2-multisample__014.fna;semibin2__014.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.5	0.45	88409	1772843	Medium quality	99.724248239132
Near-clone 99.9% ANI	99.9	24_2	taxvamb__027.fna	1	taxvamb__027.fna	Article42-QC-pass	Article42-QC-pass	TaxVAMB-Kraken2	64.21	1.19	66793	1254797	Not re-audited for complete markers	59.67336547509503
